season,player_name,birth_date,team,position,height_cm,weight_kg,spike_reach_cm,jersey_number,player_url
2023-2024,Mateusz Bieniek,05.04.1994,Aluron CMC Warta Zawiercie,Środkowy,208,98,351,,https://www.plusliga.pl/players/id/1579/tour/44.html
2023-2024,Karol Butryn,18.06.1993,Aluron CMC Warta Zawiercie,Atakujący,193,102,320,,https://www.plusliga.pl/players/id/1071/tour/44.html
2023-2024,Trevor Clevenot,28.06.1994,Aluron CMC Warta Zawiercie,Przyjmujący,199,89,345,,https://www.plusliga.pl/players/id/2318/tour/44.html
2023-2024,Samuel Cooper,17.06.2001,Aluron CMC Warta Zawiercie,Przyjmujący,199,90,369,,https://www.plusliga.pl/players/id/2138/tour/44.html
2023-2024,Daniel Gąsior,09.01.1995,Aluron CMC Warta Zawiercie,Atakujący,200,93,349,,https://www.plusliga.pl/players/id/426/tour/44.html
2023-2024,Szymon Gregorowicz,07.03.1994,Aluron CMC Warta Zawiercie,Libero,183,77,325,,https://www.plusliga.pl/players/id/2231/tour/44.html
2023-2024,Tomasz Kalembka,30.06.1991,Aluron CMC Warta Zawiercie,Środkowy,202,102,333,,https://www.plusliga.pl/players/id/2286/tour/44.html
2023-2024,Michał Kozłowski,16.02.1985,Aluron CMC Warta Zawiercie,Rozgrywający,191,88,325,,https://www.plusliga.pl/players/id/1687/tour/44.html
2023-2024,Bartosz Kwolek,17.07.1997,Aluron CMC Warta Zawiercie,Przyjmujący,193,90,343,,https://www.plusliga.pl/players/id/314/tour/44.html
2023-2024,Patryk Łaba,30.07.1991,Aluron CMC Warta Zawiercie,Przyjmujący,188,90,350,,https://www.plusliga.pl/players/id/1908/tour/44.html
2023-2024,Luke Perry,20.11.1995,Aluron CMC Warta Zawiercie,Libero,182,75,335,,https://www.plusliga.pl/players/id/1275/tour/44.html
2023-2024,Thibault Rossard,28.08.1993,Aluron CMC Warta Zawiercie,Przyjmujący,194,85,350,,https://www.plusliga.pl/players/id/2261/tour/44.html
2023-2024,Mariusz Schamlewski,16.01.1991,Aluron CMC Warta Zawiercie,Środkowy,199,95,365,,https://www.plusliga.pl/players/id/1516/tour/44.html
2023-2024,Michał Szalacha,15.01.1994,Aluron CMC Warta Zawiercie,Środkowy,202,97,355,,https://www.plusliga.pl/players/id/1713/tour/44.html
2023-2024,Wojciech Szeląg,19.12.1992,Aluron CMC Warta Zawiercie,Przyjmujący,188,66,310,,https://www.plusliga.pl/players/id/2424/tour/44.html
2023-2024,Miguel Tavares Rodrigues,02.03.1993,Aluron CMC Warta Zawiercie,Rozgrywający,192,70,315,,https://www.plusliga.pl/players/id/1728/tour/44.html
2023-2024,Oliwier Winiarski,28.11.2006,Aluron CMC Warta Zawiercie,Rozgrywający,186,75,310,,https://www.plusliga.pl/players/id/2472/tour/44.html
2023-2024,Miłosz Zniszczoł,02.07.1986,Aluron CMC Warta Zawiercie,Środkowy,201,100,345,,https://www.plusliga.pl/players/id/1760/tour/44.html
2023-2024,Stéphen Boyer,10.04.1996,Asseco Resovia Rzeszów,Atakujący,196,90,355,,https://www.plusliga.pl/players/id/2216/tour/44.html
2023-2024,Jakub Bucki,13.08.1988,Asseco Resovia Rzeszów,Atakujący,197,84,343,,https://www.plusliga.pl/players/id/780/tour/44.html
2023-2024,Klemen Čebulj,21.02.1992,Asseco Resovia Rzeszów,Przyjmujący,202,97,368,,https://www.plusliga.pl/players/id/1179/tour/44.html
2023-2024,Torey DeFalco,10.04.1997,Asseco Resovia Rzeszów,Przyjmujący,198,95,340,,https://www.plusliga.pl/players/id/2317/tour/44.html
2023-2024,Jakub Dopart,08.04.2005,Asseco Resovia Rzeszów,Rozgrywający,194,79,341,,https://www.plusliga.pl/players/id/790/tour/44.html
2023-2024,Fabian Drzyzga,03.01.1990,Asseco Resovia Rzeszów,Rozgrywający,196,95,343,,https://www.plusliga.pl/players/id/602/tour/44.html
2023-2024,Michał Kędzierski,09.08.1994,Asseco Resovia Rzeszów,Rozgrywający,194,83,345,,https://www.plusliga.pl/players/id/1684/tour/44.html
2023-2024,Karol Kłos,08.08.1989,Asseco Resovia Rzeszów,Środkowy,201,87,360,,https://www.plusliga.pl/players/id/1078/tour/44.html
2023-2024,Jakub Kochanowski,17.07.1997,Asseco Resovia Rzeszów,Środkowy,199,83,346,,https://www.plusliga.pl/players/id/803/tour/44.html
2023-2024,Łukasz Kozub,03.11.1997,Asseco Resovia Rzeszów,Rozgrywający,186,86,320,,https://www.plusliga.pl/players/id/1285/tour/44.html
2023-2024,Jakub Lewandowski,16.07.1996,Asseco Resovia Rzeszów,Środkowy,204,88,360,,https://www.plusliga.pl/players/id/812/tour/44.html
2023-2024,Yacine Louati,04.03.1992,Asseco Resovia Rzeszów,Przyjmujący,198,90,345,,https://www.plusliga.pl/players/id/2433/tour/44.html
2023-2024,Bartłomiej Mordyl,21.01.1995,Asseco Resovia Rzeszów,Środkowy,201,92,340,,https://www.plusliga.pl/players/id/282/tour/44.html
2023-2024,Michał Potera,06.03.1988,Asseco Resovia Rzeszów,Libero,183,79,310,,https://www.plusliga.pl/players/id/1707/tour/44.html
2023-2024,Krzysztof Rejno,22.02.1993,Asseco Resovia Rzeszów,Środkowy,203,83,350,,https://www.plusliga.pl/players/id/1229/tour/44.html
2023-2024,Adrian Staszewski,31.05.1990,Asseco Resovia Rzeszów,Przyjmujący,196,102,340,,https://www.plusliga.pl/players/id/42/tour/44.html
2023-2024,Konrad Szpakowski,04.05.2005,Asseco Resovia Rzeszów,Środkowy,201,91,338,,https://www.plusliga.pl/players/id/1192/tour/44.html
2023-2024,Miłosz Wróbel,07.09.2006,Asseco Resovia Rzeszów,Środkowy,206,83,350,,https://www.plusliga.pl/players/id/1759/tour/44.html
